W,-1545,-3263,-2856,28,64,5790
W,-1507,-3249,-2842,-29,9,5792
W,-1488,-3250,-2850,6466,24,5755
W,-1486,-3258,-2856,6528,133,5825
W,-1493,-3254,-2831,6473,145,5853
W,-1510,-3263,-2787,6500,6543,5778
W,-1533,-3273,-2761,43,6445,5728
W,-1545,-3277,-2748,42,6396,5699
W,-1544,-3289,-2763,92,6313,5673
W,-1526,-3299,-2812,94,6486,5731
W,-1498,-3291,-2850,58,81,5805
W,-1471,-3277,-2869,6537,112,5814
W,-1448,-3268,-2875,6485,56,5824
W,-1438,-3263,-2880,6424,48,5785
W,-1440,-3276,-2884,6498,95,5800
W,-1447,-3288,-2882,37,40,5795
W,-1449,-3294,-2880,65,30,5742
W,-1443,-3293,-2880,116,6540,5744
W,-1427,-3276,-2888,42,23,5751
W,-1405,-3261,-2897,6525,70,5782
W,-1385,-3255,-2897,6490,100,5772
W,-1365,-3260,-2890,6523,49,5799
W,-1349,-3260,-2885,6518,5,5750
W,-1339,-3262,-2889,3,5,5743
W,-1326,-3256,-2890,6535,10,5735
W,-1319,-3251,-2895,6535,30,5737
W,-1310,-3248,-2903,6,56,5744
W,-1298,-3245,-2906,11,109,5745
W,-1279,-3242,-2901,18,37,5752
W,-1259,-3230,-2900,6495,32,5719
W,-1249,-3223,-2897,6501,50,5741
W,-1241,-3219,-2886,6479,43,5714
W,-1238,-3222,-2882,6538,6542,5710
W,-1229,-3215,-2884,6544,6531,5667
W,-1212,-3213,-2890,6545,9,5697
W,-1194,-3207,-2897,6508,10,5706
W,-1182,-3211,-2904,6479,70,5715
W,-1174,-3221,-2905,6516,46,5724
W,-1169,-3230,-2903,6541,14,5706
W,-1165,-3238,-2907,47,11,5719
W,-1153,-3237,-2906,43,69,5722
W,-1136,-3236,-2896,28,25,5753
W,-1119,-3231,-2884,6510,1,5717
W,-1109,-3235,-2876,15,13,5724
W,-1088,-3235,-2862,33,12,5723
W,-1061,-3234,-2848,59,6540,5704
W,-1026,-3224,-2839,54,6498,5684
W,-989,-3209,-2835,6462,6520,5687
W,-973,-3207,-2841,6457,6521,5702
W,-960,-3206,-2844,6452,24,5711
W,-946,-3211,-2834,6522,25,5717
W,-938,-3215,-2828,6512,6526,5669
W,-940,-3223,-2836,25,6505,5676
W,-938,-3223,-2851,61,48,5692
W,-933,-3221,-2856,50,32,5726
W,-927,-3212,-2855,6519,53,5711
W,-931,-3216,-2851,6528,40,5716
W,-933,-3219,-2844,2,6550,5695
W,-931,-3222,-2842,39,6500,5667
W,-924,-3216,-2850,67,6517,5666
W,-908,-3208,-2855,1,16,5699
W,-894,-3198,-2860,6507,4,5699
W,-891,-3200,-2866,6473,15,5696
W,-889,-3206,-2872,6520,3,5693
W,-892,-3216,-2878,0,6549,5673
W,-895,-3222,-2889,55,6538,5683
W,-894,-3218,-2898,48,43,5672
W,-885,-3218,-2902,65,22,5723
W,-868,-3207,-2898,6524,40,5703
W,-858,-3210,-2893,6514,20,5703
W,-847,-3216,-2889,6511,6534,5685
W,-845,-3224,-2891,3,6524,5686
W,-846,-3222,-2892,6550,12,5761
W,-660,-3236,-2862,321,98,5751
W,-348,-3330,-2794,6389,297,5857
W,-355,-3275,-2694,282,6526,5788
W,-126,-3300,-2630,199,6458,5720
W,232,-3383,-2586,225,6534,5691
W,621,-3457,-2577,644,53,5760
W,1122,-3506,-2558,839,301,5919
W,1644,-3521,-2489,691,597,6029
W,1848,-3507,-2392,490,649,6032
W,1758,-3488,-2362,565,378,5957
W,1840,-3520,-2383,665,306,6088
W,2076,-3521,-2320,652,319,6086
W,2459,-3456,-2095,565,122,6116
W,2744,-3429,-1845,211,259,5968
W,2811,-3375,-1611,298,6500,6036
W,2898,-3340,-1421,6479,75,5897
W,2862,-3320,-1421,8,6475,5945
W,2794,-3322,-1477,222,6430,5935
W,2785,-3316,-1522,122,78,5985
W,2763,-3293,-1547,84,112,6092
W,2750,-3279,-1575,31,93,6283
W,2715,-3195,-1570,6475,130,5574
W,2761,-3177,-1584,6221,488,6191
W,2607,-3225,-1483,5893,6329,5891
W,2371,-3263,-1506,111,6276,4864
W,2465,-3333,-1639,343,98,5360
W,2504,-3359,-1708,140,6403,6065
W,2335,-3282,-1762,6503,6458,5773
W,2049,-3138,-1830,6185,6540,5954
W,1756,-3025,-2002,322,213,6478
W,1663,-2998,-2176,902,729,347
W,1818,-2915,-2009,6150,32,6019
W,1940,-2813,-1863,5155,6042,5157
W,2054,-2854,-1955,5618,6439,5515
