W,-34,159,65,16216,689,16043
W,-84,206,37,6040,635,5975
W,-127,426,-23,6177,580,6183
W,-160,557,-39,6053,509,6090
W,-229,663,-86,6075,389,6078
W,-294,651,-141,6117,67,183
W,-386,550,-148,5737,154,671
W,-626,386,-208,6219,59,465
W,-898,302,-49,516,372,6087
W,-1167,100,27,1180,343,5204
W,-1470,59,157,1365,278,6057
W,-1724,68,195,1079,6347,6108
W,-1873,-48,155,952,6047,298
W,-2144,17,203,1630,5580,105
W,-2536,-105,146,538,5708,5413
W,-3472,-116,-68,1010,5708,5122
W,-4948,13,-412,2797,156,4875
W,-6424,-55,-735,3953,2400,5242
W,-7713,-273,-1134,3194,4802,97
W,-8702,-562,-1477,2513,5660,1554
W,-9568,-631,-1679,1271,5733,1634
W,-10217,-422,-1800,430,5383,1508
W,-10542,-49,-1878,223,4945,1662
W,-10589,392,-1876,859,4187,1825
W,-10492,782,-1856,1986,3169,1535
W,-10293,1000,-1928,2415,1929,1361
W,-10050,1170,-2047,2090,816,573
W,-9949,1217,-2216,1496,501,982
W,-10026,991,-2354,1275,332,2527
W,-10225,657,-2530,1571,1131,4467
W,-9987,184,-2508,2150,803,5317
W,-9980,-278,-2785,814,1594,4992
W,-9782,-747,-3412,6160,1781,4371
W,-9866,-1018,-3766,61,1132,2787
W,-10273,-1228,-3988,208,1723,1156
W,-10617,-1132,-4275,6163,877,261
W,-11105,-936,-4359,6024,185,1643
W,-11706,-818,-4171,6162,901,2607
W,-12010,-787,-4163,5669,1306,2583
W,-11960,-768,-4276,5808,992,3150
W,-11410,-712,-4302,6478,258,3156
W,-11152,-768,-4399,6501,6450,3278
W,-11323,-851,-4508,6164,530,3426
W,-11476,-883,-4629,5858,715,3382
W,-11544,-853,-4728,5713,511,3492
W,-11614,-759,-4774,5757,166,3385
W,-11994,-620,-4881,5840,6488,3459
W,-12419,-460,-4945,5809,121,3475
W,-12381,-349,-4963,5927,6225,3511
W,-12295,-262,-4967,5892,5920,3567
W,-12238,-153,-4914,6134,6010,3640
W,-12180,-40,-4849,6358,6046,3556
W,-12140,37,-4741,6541,5935,3421
W,-12075,-37,-4515,43,6080,3294
W,-12113,-120,-4413,6399,6126,3022
W,-12185,-91,-4479,6204,5895,3279
W,-12190,-119,-4526,6301,5945,3203
W,-12065,-244,-4609,6158,6214,3279
W,-11866,-363,-4697,5970,6307,3508
W,-11699,-375,-4705,6178,6345,3539
W,-11546,-331,-4689,6316,5851,3431
W,-11528,-296,-4673,6547,5695,3191
W,-11516,-327,-4717,6268,5813,3336
W,-11504,-360,-4756,5838,5952,3464
W,-11482,-375,-4752,5921,5882,3401
W,-11491,-382,-4744,6066,5994,3467
W,-11471,-383,-4736,6146,5955,3437
W,-11487,-371,-4730,6291,5775,3403
W,-11538,-383,-4738,6341,5805,3401
W,-11600,-396,-4762,6231,5870,3435
W,-11675,-412,-4782,6101,5872,3422
W,-11745,-436,-4798,5986,5917,3458
W,-11797,-456,-4803,6014,5967,3451
W,-11850,-472,-4805,6082,6046,3456
W,-11897,-476,-4806,6140,6040,3427
W,-11932,-481,-4822,6106,6030,3464
W,-11999,-476,-4833,6229,5961,3371
W,-12138,-477,-4859,6115,5971,3392
W,-12392,-447,-4844,6234,5874,3688
W,-12509,-440,-4875,6066,6033,3514
W,-12516,-493,-4873,5999,5759,3449
W,-12611,-548,-4872,5971,6284,3471
