W,16701,1783,1454,6466,6373,1538
W,16681,1912,1281,6189,6020,1993
W,16555,2086,1163,306,5740,1879
W,16525,2193,1057,665,5473,1964
W,16604,2136,1034,699,5404,2047
W,16670,2079,1115,622,5501,1827
W,16768,2005,1236,475,5795,1568
W,16840,1992,1310,250,5989,1625
W,16923,2007,1345,350,6135,1696
W,17007,2009,1359,400,6222,1839
W,17058,2019,1378,465,6291,2033
W,17085,2013,1422,435,6423,1927
W,17111,2018,1450,366,6443,1831
W,17172,2027,1465,338,6516,1855
W,17233,2044,1500,448,123,1863
W,17307,2033,1541,472,67,1893
W,17333,2016,1570,310,76,1872
W,17389,2003,1586,299,150,1835
W,17462,1991,1587,350,223,1930
W,17526,1974,1590,321,240,2036
W,17572,1976,1603,172,187,2145
W,17680,2002,1697,6211,242,2599
W,17864,2118,1942,77,681,2685
W,-14344,2221,2263,1736,1118,1368
W,-17890,2261,2489,2204,992,451
W,10713,2282,2597,1656,1207,574
W,17591,2262,2685,959,2056,1161
W,17231,2201,2845,311,3402,1494
W,16841,2262,3010,660,4145,1390
W,16628,2233,3063,418,4662,1537
W,16556,2150,3073,270,4862,1457
W,16531,2079,3011,329,4714,1298
W,16540,2026,2832,198,4246,1534
W,16607,1949,2601,6459,3765,2016
W,16635,1922,2456,6534,3289,2070
W,16651,1909,2343,6552,2805,1915
W,16694,1908,2183,6459,2353,2170
W,16765,1896,2049,133,1983,2286
W,16820,1896,1977,93,1830,2297
W,16871,1893,1931,211,1647,2288
W,16907,1904,1900,215,1494,2336
W,16944,1906,1883,193,1359,2261
W,16987,1923,1845,61,1172,2307
W,17058,1988,1773,664,881,1831
W,17179,2005,1616,379,570,2085
W,17294,1985,1451,688,159,2148
W,17374,1935,1328,113,6327,2382
W,17478,1903,1284,182,6238,2501
W,17570,1887,1316,331,6338,2384
W,17634,1888,1377,337,39,2411
W,17652,1911,1452,520,127,2157
W,17664,1931,1487,276,160,2308
W,17695,1947,1531,430,263,2368
W,17711,1961,1572,431,370,2135
W,17766,1954,1536,272,172,2155
W,17865,1937,1493,312,70,2365
W,17932,1934,1510,615,121,2302
W,17960,1909,1575,626,480,2363
W,17875,1920,1691,511,903,2370
W,17764,1914,1786,297,1154,2550
W,17646,1915,1893,552,1351,2333
W,17552,1927,1965,293,1596,2181
W,17538,1942,1963,416,1715,2291
W,17549,1952,1948,564,1729,2229
W,17557,1965,1899,595,1657,2180
W,17579,1969,1826,605,1420,2366
W,17607,1965,1787,608,1357,2560
W,17625,1945,1789,679,1372,2388
W,17638,1938,1767,485,1311,2384
W,17668,1947,1738,583,1172,2313
W,17712,1956,1697,529,1069,2300
W,17756,1961,1643,640,964,2437
W,17794,1946,1613,632,876,2545
W,17810,1948,1604,706,861,2340
W,17830,1949,1593,458,871,2495
W,17849,1974,1620,696,914,2464
W,17868,1969,1648,826,948,2224
W,17895,1961,1634,540,941,2409
W,17926,1954,1636,633,908,2319
W,17955,1943,1629,567,910,2322
W,7191,1919,1603,511,759,2349
W,-17949,1910,1562,220,579,2312
W,-17839,1931,1494,361,376,1970
W,-17705,1982,1318,666,6479,1811
W,-17603,2064,1100,630,6038,2276
W,-17484,2040,997,558,5849,2234
W,-17381,1981,939,384,5706,2380
W,-17293,1927,935,299,5579,2552
W,-17228,1864,1005,309,5737,2347
W,-17180,1841,1056,6521,6016,2145
W,-17108,1861,1047,183,5891,2161
W,-17027,1871,1051,157,5925,2282
W,-16966,1896,1089,183,6071,2357
W,-16913,1891,1120,308,6090,2335
W,-16870,1869,1148,161,6144,2425
W,-16833,1850,1210,159,6258,2413
W,-16803,1866,1281,253,6493,2267
W,-16771,1898,1323,376,6525,2265
W,-16727,1916,1348,457,33,2385
W,-16693,1923,1387,518,159,2392
W,-16677,1923,1425,588,237,2319
W,-16658,1941,1448,492,269,2303
W,-16612,1961,1485,670,340,2257
W,-16586,1980,1514,798,371,2079
W,-16553,1985,1500,614,423,2376
W,-16532,1982,1524,925,445,2303
W,-16541,1969,1567,753,638,2342
W,-16550,1972,1631,788,746,2361
W,-16557,1977,1695,989,876,2110
W,-16564,1989,1730,905,998,2363
W,-16570,1982,1798,1150,1149,2383
W,-16606,1966,1856,1177,1255,2032
W,-16638,1977,1843,884,1314,2150
W,-16637,1998,1818,941,1208,2292
W,-16608,2001,1819,1132,1253,2355
W,-16582,1968,1811,1139,1205,2176
W,-16568,1947,1758,826,1103,2194
W,-16523,1956,1688,767,869,2255
W,-16439,1972,1624,806,714,2128
W,-16331,1990,1535,825,481,2203
W,-16222,1984,1446,775,265,2352
W,-16130,1951,1380,666,153,2408
W,-16070,1915,1363,550,105,2451
W,-16032,1893,1383,471,153,2452
W,-16005,1874,1438,624,321,2538
W,-16028,1857,1553,755,711,2553
W,-16115,1832,1678,990,985,2370
W,-16262,1828,1759,890,1388,2308
W,-16411,1865,1799,759,1331,2374
W,-16451,1900,1789,593,1196,2502
W,-16361,1965,1768,733,1148,2357
W,-16179,2029,1699,1161,860,2057
W,-15963,2053,1536,1062,359,1938
W,-15754,2055,1324,784,6370,2084
W,-15585,2031,1153,530,6091,2412
W,-15481,1993,1061,477,5703,2421
W,-15406,1921,1029,124,5757,2452
W,-15365,1913,1063,36,6013,2391
W,-15328,1979,1127,158,6055,2478
W,-15213,2090,1215,403,5957,2236
W,-15003,2193,1303,755,5763,1827
W,-14743,2263,1307,802,5354,1506
W,-14505,2357,1173,914,4656,1083
W,-14418,2439,882,560,4112,550
W,-14444,2330,559,5442,5016,1473
W,-14443,2187,562,5617,5105,1541
W,-14409,2064,867,6256,5208,1534
W,-14536,2127,1215,250,5704,1159
W,-14558,2202,1318,393,5915,1608
W,-14467,2134,1378,713,6099,1854
W,-14440,2131,1465,908,6187,1510
W,-14423,2107,1468,564,6483,1594
W,-14402,2112,1486,729,6482,1660
W,-14470,2237,1492,1233,6235,1310
W,-14514,2434,1468,1044,67,1317
W,-14263,2155,1479,1014,6503,1129
W,-13982,1506,1303,555,5776,1554
W,-14347,1354,1064,6067,6464,2477
W,-14807,892,1188,5627,1100,2324
W,-15210,390,1220,4812,2163,2003
W,-15736,89,1031,3960,2422,1733
W,-16153,-368,776,2413,2707,1337
W,-16449,-586,606,2076,2451,1178
W,-16863,-638,588,2960,2340,1214
W,-17344,-629,766,3267,2818,1156
W,-17693,-510,883,3900,2834,1224
W,-7143,-340,936,4810,3172,1260
W,7170,-110,954,5565,2026,1507
W,-3588,-23,897,6328,2070,1515
W,17944,229,925,48,1863,1558
W,17941,286,864,587,1692,1558
W,17905,265,816,180,1631,1578
W,17949,252,765,328,1426,1592
W,3593,307,736,561,1470,1575
W,-17915,296,661,684,1191,1594
W,-17832,288,594,577,1018,1610
W,-17759,282,543,582,833,1621
W,-17698,285,547,516,776,1631
W,-17653,283,540,471,774,1632
W,-17601,253,505,420,800,1627
W,-17545,200,449,300,695,1631
W,-17498,172,428,290,578,1637
W,-17419,170,409,54,569,1644
W,-17268,171,374,161,140,1663
W,-17137,175,357,203,18,1666
W,-17029,167,375,261,275,1651
W,-16934,249,381,374,336,1648
W,-16824,278,334,265,104,1662
W,-16708,286,291,296,6456,1664
W,-16626,296,289,355,6401,1662
W,-16559,290,295,364,6478,1659
W,-16527,291,319,316,35,1661
W,-16498,293,334,282,61,1664
W,-16455,299,342,226,72,1670
W,-16401,332,344,271,50,1672
W,-16334,366,341,452,6530,1664
W,-16277,384,318,636,66,1644
W,-16221,434,276,653,6494,1647
W,-16165,422,270,413,6268,1670
W,-16116,399,286,396,6413,1667
W,-16066,406,290,518,6501,1656
W,-16002,388,298,461,6538,1658
W,-15925,365,300,352,6540,1665
W,-15865,360,308,413,6525,1661
W,-15809,355,316,365,6547,1664
W,-15748,353,318,313,6520,1669
W,-15677,337,311,254,6494,1671
W,-15601,325,312,294,6506,1666
W,-15508,308,297,128,29,1672
W,-15217,267,142,5078,886,1736
W,-14048,272,-409,3231,1796,1824
W,-12384,1389,-759,4207,681,2505
W,-10607,3274,-644,5053,2644,2372
W,-8915,5062,434,4622,4592,792
W,-5438,5297,6040,1470,1359,1516
W,-3887,4023,7416,1020,4247,6360
W,-2487,2708,7812,6281,1027,5043
W,-1545,1864,7681,5276,2688,109
W,-892,1252,7361,4360,2583,2229
W,-949,984,6771,87,1325,2513
W,-2222,1530,5847,5084,1811,2401
W,-3874,2033,4599,982,2765,5286
W,-5399,1877,3635,2884,3893,6449
W,-7043,1547,2894,4593,1487,1527
W,-8543,917,2287,3334,3336,2367
W,-9831,295,1985,3237,4611,1529
W,-11166,323,1998,3575,4852,1062
W,-12408,324,2052,3864,5227,648
W,-13544,533,2080,3749,5247,569
W,-14212,757,1961,3358,4797,783
W,-14367,779,1684,3633,3239,951
W,-14413,781,1463,3870,2283,1016
W,-14509,746,1463,4186,2183,941
W,-14626,707,1517,3691,1913,1112
W,-14812,897,1457,3725,1613,1146
W,-14894,912,1338,3813,1522,1120
W,-14866,787,1201,3441,1428,1210
W,-14831,720,1068,3202,1198,1278
W,-14772,610,960,2815,937,1370
W,-14706,514,856,2477,886,1427
W,-14753,513,805,2267,719,1469
W,-14849,577,785,2432,494,1456
W,-14890,513,735,2061,439,1510
W,-14829,338,643,1489,792,1554
W,-14748,294,560,1605,577,1550
W,-14675,270,495,1476,159,1579
W,-14595,229,448,1233,229,1594
W,-14559,294,442,1499,6486,1579
W,-14531,264,435,1214,126,1597
W,-14472,230,420,931,257,1614
W,-14397,235,394,956,116,1614
W,-14312,223,366,803,6538,1626
W,-14213,201,339,738,57,1626
W,-14110,213,316,795,6457,1623
W,-14019,221,295,832,6350,1621
W,-13939,198,279,628,6294,1632
W,-13869,167,272,485,6407,1638
W,-13815,168,267,465,6490,1637
W,-13797,231,303,562,6398,1638
